sep=,
"INSITE Professional 8.5.0.57 / Datapack 8.5.00115"
"Cummins Inc."

"Data Log Information"
,"Start Date and Time:","16-май-2026,09:47:02.687"
,"Total Log Time:","00:17:54.3750000"
,"Source Log Filename:","C:\Users\D683~1\AppData\Local\Temp\\DML-20260516-094529.log"
,"Destination Path","C:\Users\Николай\Desktop"
,"SamplingRate:","RealTime"
,"Comments:",""

"Customer and Vehicle Information"
,"Customer Name:","170227104443   "
,"Vehicle Unit Number:",""          ""

"Engine Information"
,"Model:","QSK50 MCRS*******,QSK50 MCRS*******,QSK50 MCRS*******"
,"System Type:","QSK50/60 CM850/CM2150/CM2850 MCRS/K123M"
,"Serial Number:","33238516"
,
" ECM Information"
,"ECM Part Number:","4995445|4995445|4995445"
,"ECM Code:","AQ60809.08|AR60193.16|AR60194.15"
,"Calibration Software Phase:","19020116|19020116|19020116"

"Date","Time","Accelerator Pedal or Lever Position Sensor Signal Voltage (V)- Identifier0","Accelerator Pedal or Lever Position Sensor Supply Voltage (V)- Identifier0","Air Conditioning Pressure Switch- Identifier0","Amber Warning Lamp Status- Identifier0","Average Exhaust Temperature - Left Bank (Calculated) (°C)- Identifier144","Average Exhaust Temperature - Right Bank (Calculated) (°C)- Identifier1","Average Exhaust Temperature (Calculated) (°C)- Identifier1","Barometric Air Pressure (kPa)- Identifier0","Barometric Air Pressure Sensor Signal Voltage (V)- Identifier0","Battery Voltage (V)- Identifier0","Battery Voltage (V)- Identifier1","Battery Voltage (V)- Identifier144","Battery Voltage 1 (V)- Identifier0","Calibration Software Phase- Identifier0","Calibration Software Phase- Identifier1","Calibration Software Phase- Identifier144","Coolant Pressure Sensor (kPa)- Identifier0","Coolant Pressure Sensor Voltage (V)- Identifier0","Crankcase Pressure (kPa)- Identifier0","Crankcase Pressure Sensor Signal Voltage (V)- Identifier0","Diagnostic Test Mode Switch- Identifier0","Dual Output Driver A- Identifier0","Dual Output Driver B- Identifier0","ECM Real Time- Identifier0","ECM Real Time- Identifier1","ECM Real Time- Identifier144","ECM Temperature 2 (°C)- Identifier1","ECM Temperature 3 (°C)- Identifier144","ECM Time (Key On Time) (HHHHHH:MM:SS)- Identifier0","ECM Time (Key On Time) (HHHHHH:MM:SS)- Identifier1","ECM Time (Key On Time) (HHHHHH:MM:SS)- Identifier144","Electric Fuel Lift Pump Duty Cycle (percent)- Identifier0","Electric Fuel Lift Pump Duty Cycle (percent)- Identifier1","Electric Fuel Lift Pump Duty Cycle (percent)- Identifier144","Electric Fuel Lift Pump Position- Identifier0","Electric Fuel Lift Pump Position- Identifier1","Electric Fuel Lift Pump Position- Identifier144","Electric Lift Pump Current Feedback- Identifier0","Electric Lift Pump Current Feedback- Identifier1","Electric Lift Pump Current Feedback- Identifier144","Engine Coolant Level- Identifier0","Engine Coolant Temperature (°C)- Identifier0","Engine Coolant Temperature Sensor Signal Voltage (V)- Identifier0","Engine Hours (HHHHHH:MM:SS)- Identifier0","Engine Oil Pressure (kPa)- Identifier0","Engine Oil Pressure Sensor Signal Voltage (V)- Identifier0","Engine Oil Pressure Sensor Type- Identifier0","Engine Oil Temperature (°C)- Identifier0","Engine Oil Temperature Sensor Signal Voltage (V)- Identifier0","Engine Operating State- Identifier0","Engine Protection Derate Suppress- Identifier0","Engine Protection Shutdown Override Switch- Identifier0","Engine Speed (RPM)- Identifier0","Engine Speed (RPM)- Identifier1","Engine Speed (RPM)- Identifier144","Engine Speed Backup Sensor State- Identifier0","Engine Speed Backup Sensor State- Identifier1","Engine Speed Backup Sensor State- Identifier144","Engine Speed Backup Synchronization State- Identifier0","Engine Speed Backup Synchronization State- Identifier1","Engine Speed Backup Synchronization State- Identifier144","Engine Speed Main Sensor Signal State- Identifier0","Engine Speed Main Sensor Signal State- Identifier1","Engine Speed Main Sensor Signal State- Identifier144","Engine Speed Main Sensor State- Identifier0","Engine Speed Main Sensor State- Identifier1","Engine Speed Main Sensor State- Identifier144","Engine Speed Main Synchronization State- Identifier0","Engine Speed Main Synchronization State- Identifier1","Engine Speed Main Synchronization State- Identifier144","Engine Speed Sensor Active- Identifier0","Engine Speed Sensor Active- Identifier1","Engine Speed Sensor Active- Identifier144","Engine Speed Status- Identifier0","Engine Speed Status- Identifier1","Engine Speed Status- Identifier144","Engine Torque Mode- Identifier0","Engine Warmup Protection Status- Identifier0","Exhaust Temperature Sensor Cylinder 1 (°C)- Identifier144","Exhaust Temperature Sensor Cylinder 10 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 11 (°C)- Identifier144","Exhaust Temperature Sensor Cylinder 12 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 13 (°C)- Identifier144","Exhaust Temperature Sensor Cylinder 14 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 15 (°C)- Identifier144","Exhaust Temperature Sensor Cylinder 16 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 2 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 3 (°C)- Identifier144","Exhaust Temperature Sensor Cylinder 4 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 5 (°C)- Identifier144","Exhaust Temperature Sensor Cylinder 6 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 7 (°C)- Identifier144","Exhaust Temperature Sensor Cylinder 8 (°C)- Identifier1","Exhaust Temperature Sensor Cylinder 9 (°C)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 1 (V)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 10 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 11 (V)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 12 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 13 (V)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 14 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 15 (V)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 16 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 2 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 3 (V)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 4 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 5 (V)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 6 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 7 (V)- Identifier144","Exhaust Temperature Sensor Voltage Cylinder 8 (V)- Identifier1","Exhaust Temperature Sensor Voltage Cylinder 9 (V)- Identifier144","Fan Control Command (percent)- Identifier0","Fan Control Switch- Identifier0","Fan Drive State- Identifier0","Fuel Flow Rate Commanded (L/hr)- Identifier0","Fuel Flow Rate Commanded (L/hr)- Identifier1","Fuel Flow Rate Commanded (L/hr)- Identifier144","Fuel Pump Actuator Commanded Current (mA)- Identifier0","Fuel Pump Actuator Commanded Current (mA)- Identifier1","Fuel Pump Actuator Commanded Current (mA)- Identifier144","Fuel Pump Actuator Duty Cycle (percent)- Identifier0","Fuel Pump Actuator Duty Cycle (percent)- Identifier1","Fuel Pump Actuator Duty Cycle (percent)- Identifier144","Fuel Pump Actuator Measured Current (mA)- Identifier0","Fuel Pump Actuator Measured Current (mA)- Identifier1","Fuel Pump Actuator Measured Current (mA)- Identifier144","Fuel Pump Actuator Position- Identifier0","Fuel Pump Actuator Position- Identifier1","Fuel Pump Actuator Position- Identifier144","Fuel Pump Oil Pressure (kPa)- Identifier0","Fuel Rail Pressure Commanded (bar)- Identifier0","Fuel Rail Pressure Commanded (bar)- Identifier1","Fuel Rail Pressure Commanded (bar)- Identifier144","Fuel Rail Pressure Measured (bar)- Identifier0","Fuel Rail Pressure Measured (bar)- Identifier1","Fuel Rail Pressure Measured (bar)- Identifier144","Fuel Rail Pressure Sensor Signal Voltage (V)- Identifier0","Fuel Rail Pressure Sensor Signal Voltage (V)- Identifier1","Fuel Rail Pressure Sensor Signal Voltage (V)- Identifier144","Fuel Regulator Intake Pressure (kPa)- Identifier0","Fuel Regulator Intake Pressure (kPa)- Identifier1","Fuel Regulator Intake Pressure (kPa)- Identifier144","Fuel Regulator Intake Pressure Voltage (V)- Identifier0","Fuel Regulator Intake Pressure Voltage (V)- Identifier1","Fuel Regulator Intake Pressure Voltage (V)- Identifier144","Fuel Temperature Sensor (°C)- Identifier0","Fuel Temperature Sensor (°C)- Identifier1","Fuel Temperature Sensor (°C)- Identifier144","Fuel Temperature Sensor Voltage (V)- Identifier0","Fuel Temperature Sensor Voltage (V)- Identifier1","Fuel Temperature Sensor Voltage (V)- Identifier144","Idle Validation Switch- Identifier0","Instantaneous Dosing Fuel Rate (L/hr)- Identifier0","Instantaneous Fuel Rate (L/hr)- Identifier0","Intake Manifold Air Temperature (°C)- Identifier0","Intake Manifold Air Temperature Sensor Signal Voltage (V)- Identifier0","Intake Manifold Pressure (kPa)- Identifier0","Intake Manifold Pressure Sensor 1 (kPa)- Identifier0","Intake Manifold Pressure Sensor 1 Voltage (V)- Identifier0","Intake Manifold Pressure Sensor 2 (kPa)- Identifier1","Intake Manifold Pressure Sensor 2 Voltage (V)- Identifier1","Intake Manifold Pressure Sensor Signal Voltage (V)- Identifier0","Intake Manifold Temperature Sensor 1 (°C)- Identifier0","Intake Manifold Temperature Sensor 1 Voltage (V)- Identifier0","Intake Manifold Temperature Sensor 2 (°C)- Identifier0","Intake Manifold Temperature Sensor 2 Voltage (V)- Identifier0","Intake Manifold Temperature Sensor 3 (°C)- Identifier0","Intake Manifold Temperature Sensor 3 Voltage (V)- Identifier0","Intake Manifold Temperature Sensor 4 (°C)- Identifier0","Intake Manifold Temperature Sensor 4 Voltage (V)- Identifier0","Intermediate Speed Control Decrement Switch- Identifier0","Intermediate Speed Control Increment Switch- Identifier0","Intermediate Speed Control Mode- Identifier0","Intermediate Speed Control Requested Input- Identifier0","Intermediate Speed Control Requested Speed (RPM)- Identifier0","Intermediate Speed Control Switch 1- Identifier0","Intermediate Speed Control Switch 2- Identifier0","Intermediate Speed Control Switch 3- Identifier0","J1939 Engine Source Address- Identifier0","J1939 Engine Source Address- Identifier1","J1939 Engine Source Address- Identifier144","J1939 Stop Broadcast Source Address One- Identifier0","J1939 Stop Broadcast Source Address One- Identifier1","J1939 Stop Broadcast Source Address One- Identifier144","J1939 Stop Broadcast Source Address Three- Identifier0","J1939 Stop Broadcast Source Address Three- Identifier1","J1939 Stop Broadcast Source Address Three- Identifier144","J1939 Stop Broadcast Source Address Two- Identifier0","J1939 Stop Broadcast Source Address Two- Identifier1","J1939 Stop Broadcast Source Address Two- Identifier144","Keyswitch Off Counts- Identifier0","Keyswitch On Counts- Identifier0","Keyswitch- Identifier0","Low Idle Adjustment Switch- Identifier0","Oil Filter Differential Pressure Sensor (Calculated) (kPa)- Identifier0","Oil Filter Differential Pressure Sensor (Calculated) (kPa)- Identifier1","Oil Level Switch Status- Identifier1","Oil Level Switch Voltage (V)- Identifier1","Percent Accelerator Pedal or Lever (percent)- Identifier0","Percent Load (percent)- Identifier0","Pre Oil Filter Pressure (kPa)- Identifier1","Pre Oil Filter Pressure Sensor Voltage (V)- Identifier1","Red Stop Lamp Status- Identifier0","Sensor Supply 1 (V)- Identifier0","Sensor Supply 1 (V)- Identifier1","Sensor Supply 1 (V)- Identifier144","Sensor Supply 2 (V)- Identifier0","Sensor Supply 2 (V)- Identifier1","Sensor Supply 2 (V)- Identifier144","Sensor Supply 3 (V)- Identifier0","Sensor Supply 3 (V)- Identifier1","Sensor Supply 3 (V)- Identifier144","Sensor Supply 4 (V)- Identifier0","Sensor Supply 4 (V)- Identifier1","Sensor Supply 4 (V)- Identifier144",
16-май-2026,09:47:06.852,"0,00","5,00","On","Off","415,3","416,0","419,0","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","401","4,3","0,2","0,56","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:32","003492:32:38","003492:35:49","0","0","0","Off","Off","Off","False","False","False","Normal","79,8","0,88","003471:24:25","559,6","3,63","Analog","90,2","0,69","Fueling High Speed Governor State","Disable","On","1912","1910","1906","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","High Speed Governor","Inactive","430","386","433","401","425","417","451","448","438","388","429","438","452","397","366","367","2,4","2,1","2,4","2,2","2,3","2,3","2,4","2,4","2,4","2,1","2,4","2,4","2,4","2,2","2,1","2,1","79","Off","Intake Manifold Temperature","404,89","0,00","0,00","1125,00","0,00","0,00","15","0","0","1125,00","0,00","0,00","Close","Open","Open","0,0","1550","0","1550","1560","1535","1540","3,61","0,00","0,00","668","565","668","2,1","0,0","0,0","25,9","25,9","25,9","3,1","0,0","0,0","N/A","0,0","0,0","48,4","1,88","260,1","261","3,2","258","3,2","1,19","49","2,0","48","2,0","48","2,0","48","2,0","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","34","27","Normal","0,00","0","100","575,6","1,8","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","4,94","5,00",
16-май-2026,09:47:07.852,"0,00","5,00","On","Off","415,3","416,0","419,0","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","401","4,3","0,2","0,56","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:34","003492:32:38","003492:35:50","0","0","0","Off","Off","Off","False","False","False","Normal","79,8","0,88","003471:24:25","559,6","3,63","Analog","90,2","0,69","Fueling High Speed Governor State","Disable","On","1912","1910","1906","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","High Speed Governor","Inactive","430","386","433","401","425","417","451","448","438","388","429","438","452","397","366","367","2,4","2,1","2,4","2,2","2,3","2,3","2,4","2,4","2,4","2,1","2,4","2,4","2,4","2,2","2,1","2,1","79","Off","Intake Manifold Temperature","404,89","0,00","0,00","1125,00","0,00","0,00","15","0","0","1125,00","0,00","0,00","Close","Open","Open","0,0","1550","0","1550","1560","1535","1540","3,61","0,00","0,00","668","565","668","2,1","0,0","0,0","25,9","25,9","25,9","3,1","0,0","0,0","N/A","0,0","0,0","48,4","1,88","260,1","261","3,2","258","3,2","1,19","49","2,0","48","2,0","48","2,0","48","2,0","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","34","27","Normal","0,00","0","100","575,6","1,8","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","4,94","5,00",
16-май-2026,09:47:08.852,"0,00","5,00","On","Off","417,5","418,3","421,5","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","405","4,3","0,0","0,56","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:34","003492:32:38","003492:35:50","0","0","0","Off","Off","Off","False","False","False","Normal","79,8","0,88","003471:24:27","559,6","3,56","Analog","90,2","0,69","Fueling High Speed Governor State","Disable","On","1909","1907","1912","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","High Speed Governor","Inactive","432","389","436","405","428","420","453","450","439","390","429","439","455","400","368","370","2,4","2,1","2,4","2,3","2,4","2,3","2,4","2,4","2,4","2,1","2,4","2,4","2,5","2,2","2,1","2,1","79","Off","Intake Manifold Temperature","409,61","0,00","0,00","1125,00","0,00","0,00","15","0","0","1125,00","0,00","0,00","Close","Open","Open","0,0","1550","0","1522","1533","1565","1550","3,56","0,00","0,00","670","565","673","2,1","0,0","0,0","25,8","25,8","25,8","3,1","0,0","0,0","N/A","0,0","0,0","48,4","1,88","260,3","260","3,2","260","3,2","1,19","49","2,0","48","2,0","48","2,0","48","2,0","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","27","19","Normal","0,00","0","96","572,4","1,8","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00",
16-май-2026,09:47:09.852,"0,00","5,00","On","Off","417,5","418,3","421,5","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","386","4,2","0,0","0,50","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:35","003492:32:40","003492:35:52","0","0","0","Off","Off","Off","False","False","False","Normal","79,8","0,88","003471:24:28","559,6","3,50","Analog","90,2","0,69","Data Link Speed","Disable","On","1856","1907","1912","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","PTO Governor","Inactive","432","389","436","405","428","420","453","450","439","390","429","439","455","400","368","370","2,4","2,1","2,4","2,3","2,4","2,3","2,4","2,4","2,4","2,1","2,4","2,4","2,5","2,2","2,1","2,1","79","Off","Intake Manifold Temperature","303,53","0,00","0,00","1187,50","0,00","0,00","16","0","0","1187,50","0,00","0,00","Close","Open","Open","0,0","1467","0","1522","1482","1565","1550","3,44","0,00","0,00","679","565","673","2,1","0,0","0,0","25,7","25,8","25,8","3,1","0,0","0,0","N/A","0,0","0,0","48,4","1,88","239,8","238","3,0","260","3,2","1,19","49","2,0","48","2,0","48","2,0","48","2,0","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","10","19","Normal","0,00","0","66","572,4","1,8","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00",
16-май-2026,09:47:10.852,"0,00","5,00","On","Off","418,5","420,5","424,0","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","386","4,2","0,0","0,50","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:35","003492:32:41","003492:35:54","0","0","0","Off","Off","Off","False","False","False","Normal","79,8","0,88","003471:24:28","559,6","3,50","Analog","90,2","0,69","Data Link Speed","Disable","On","1856","1814","1770","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","PTO Governor","Inactive","434","393","437","408","430","421","454","451","441","390","431","440","457","401","372","371","2,4","2,2","2,4","2,3","2,4","2,3","2,4","2,4","2,4","2,1","2,4","2,4","2,5","2,2","2,1","2,1","79","Off","Intake Manifold Temperature","303,53","0,00","0,00","1187,50","0,00","0,00","16","0","0","1187,50","0,00","0,00","Close","Open","Open","0,0","1467","0","1387","1482","1411","1391","3,44","0,00","0,00","679","565","672","2,1","0,0","0,0","25,7","25,7","25,7","3,1","0,0","0,0","N/A","0,0","0,0","48,4","1,88","239,8","238","3,0","219","2,9","1,19","49","2,0","48","2,0","48","2,0","48","2,0","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","10","15","Normal","0,00","0","66","554,0","1,8","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","4,94","5,00",
16-май-2026,09:47:11.852,"0,00","5,00","On","Off","418,5","420,5","424,0","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","335","3,8","0,0","0,44","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:37","003492:32:43","003492:35:54","0","0","0","Off","Off","Off","False","False","False","Normal","80,0","0,88","003471:24:30","495,4","3,31","Analog","90,4","0,69","Data Link Speed","Disable","On","1707","1814","1770","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","PTO Governor","Inactive","434","393","437","408","430","421","454","451","441","390","431","440","457","401","372","371","2,4","2,2","2,4","2,3","2,4","2,3","2,4","2,4","2,4","2,1","2,4","2,4","2,5","2,2","2,1","2,1","81","Off","Intake Manifold Temperature","198,68","0,00","0,00","1250,00","0,00","0,00","17","0","0","1250,00","0,00","0,00","Close","Open","Open","0,0","1340","0","1387","1362","1411","1391","3,24","0,00","0,00","675","565","672","2,1","0,0","0,0","25,6","25,7","25,7","3,1","0,0","0,0","N/A","0,0","0,0","48,0","1,88","173,3","170","2,5","219","2,9","1,19","49","2,0","48","2,0","48","2,1","48","2,1","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","14","15","Normal","0,00","0","48","554,0","1,8","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","4,94","5,00",
16-май-2026,09:47:12.852,"0,00","5,00","On","Off","420,0","422,3","425,8","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","335","3,8","0,0","0,44","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:39","003492:32:44","003492:35:56","0","0","0","Off","Off","Off","False","False","False","Normal","80,0","0,88","003471:24:30","495,4","3,31","Analog","90,4","0,69","Data Link Speed","Disable","On","1707","1659","1612","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","PTO Governor","Inactive","433","394","436","410","429","420","452","449","440","390","429","440","456","402","373","373","2,4","2,2","2,4","2,3","2,3","2,3","2,4","2,4","2,4","2,1","2,3","2,4","2,5","2,2","2,1","2,1","81","Off","Intake Manifold Temperature","198,68","0,00","0,00","1250,00","0,00","0,00","17","0","0","1250,00","0,00","0,00","Close","Open","Open","0,0","1340","0","1092","1362","1259","1139","3,24","0,00","0,00","675","565","679","2,1","0,0","0,0","25,6","25,6","25,6","3,1","0,0","0,0","N/A","0,0","0,0","48,0","1,88","173,3","170","2,5","146","2,3","1,19","49","2,0","48","2,0","48","2,1","48","2,1","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","14","10","Normal","0,00","0","48","501,5","1,7","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00",
16-май-2026,09:47:13.852,"0,00","5,00","On","Off","420,0","418,3","421,5","90,7","3,31","27,8","27,8","27,9","27,8","19020116","19020116","19020116","246","3,1","0,0","0,38","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:39","003492:32:44","003492:35:56","0","0","0","Off","Off","Off","False","False","False","Normal","80,1","0,88","003471:24:32","495,4","2,94","Analog","90,5","0,63","Data Link Speed","Disable","On","1421","1392","1612","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","PTO Governor","Inactive","433","388","436","402","429","409","452","439","432","390","419","440","446","402","370","373","2,4","2,1","2,4","2,2","2,3","2,3","2,4","2,4","2,4","2,1","2,3","2,4","2,4","2,2","2,1","2,1","85","Off","Intake Manifold Temperature","75,26","0,00","0,00","1375,00","0,00","0,00","18","0","0","1375,00","0,00","0,00","Close","Open","Open","0,0","1039","0","1092","1039","1049","1139","2,57","0,00","0,00","655","565","679","2,1","0,0","0,0","25,5","25,5","25,6","3,1","0,0","0,0","N/A","0,0","0,0","47,5","1,88","72,1","68","1,7","57","1,6","1,19","48","2,0","48","2,1","47","2,1","47","2,1","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","3","-22","Normal","0,00","0","11","411,9","1,5","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","4,94","5,00",
16-май-2026,09:47:14.858,"0,00","5,00","On","Off","416,0","418,3","421,5","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","229","3,0","0,0","0,38","Off","On","Off","Not Set","Not Set","Not Set","56","55","003492:26:41","003492:32:46","003492:35:57","0","0","0","Off","Off","Off","False","False","False","Normal","80,4","0,88","003471:24:34","495,4","2,88","Analog","90,7","0,63","Data Link Speed","Disable","On","1391","1392","1388","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","PTO Governor","Inactive","423","388","427","402","420","409","442","439","432","385","419","432","446","395","370","370","2,3","2,1","2,3","2,2","2,3","2,3","2,4","2,4","2,4","2,1","2,3","2,4","2,4","2,2","2,1","2,1","87","Off","Intake Manifold Temperature","168,19","0,00","0,00","1312,50","0,00","0,00","17","0","0","1250,00","0,00","0,00","Close","Open","Open","0,0","1182","0","1072","1159","1049","1059","2,84","0,00","0,00","633","565","650","2,1","0,0","0,0","25,5","25,5","25,5","3,1","0,0","0,0","N/A","0,0","0,0","47,1","1,88","44,0","44","1,6","57","1,6","1,19","48","2,1","47","2,1","47","2,1","47","2,1","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","16","-22","Normal","0,00","0","42","411,9","1,5","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","4,94","5,00",
16-май-2026,09:47:15.858,"0,00","5,00","On","Off","402,8","413,0","415,8","90,6","3,25","27,8","27,8","27,9","27,8","19020116","19020116","19020116","229","3,0","0,0","0,38","Off","On","Off","Not Set","Not Set","Not Set","55","55","003492:26:41","003492:32:46","003492:35:57","0","0","0","Off","Off","Off","False","False","False","Normal","80,4","0,88","003471:24:34","495,4","2,88","Analog","90,7","0,63","Data Link Speed","Disable","On","1391","1428","1448","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","In Range","In Range","In Range","Valid Signal","Valid Signal","Valid Signal","Have Synchronization","Have Synchronization","Have Synchronization","Main","Main","Main","Good","Good","Good","PTO Governor","Inactive","402","381","407","394","400","399","422","430","424","373","410","415","436","381","366","363","2,2","2,1","2,2","2,1","2,2","2,2","2,3","2,3","2,3","2,1","2,3","2,3","2,4","2,1","2,0","2,0","87","Off","Intake Manifold Temperature","168,19","0,00","0,00","1312,50","0,00","0,00","17","0","0","1250,00","0,00","0,00","Close","Open","Open","0,0","1182","0","1123","1159","1169","1135","2,84","0,00","0,00","633","565","653","2,1","0,0","0,0","25,5","25,5","25,4","3,1","0,0","0,0","N/A","0,0","0,0","47,1","1,88","44,0","44","1,6","42","1,5","1,19","48","2,1","47","2,1","47","2,1","47","2,1","Off","Off","Undefined","None","0","Off","Off","Off","0","1","144","0","0","0","0","0","0","0","0","0","433","434","On","Switch Failed","16","36","Normal","0,00","0","42","424,1","1,5","Off","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","5,00","4,94","5,00",
