№;Паспорт;Дата;Тип;Сера мг/кг;Цетан;Плотн 15°C кг/м3;Вспышка °C;CFPP °C;Т застыв °C;Стандарт;Примечание
1;1/Н;20.01.2026;ДТ-З;4,4;53,4;840,0;+45,5;-44,0;—;ГОСТ32511-2013 К5;ООО Магаданнефто РВС5
2;3/Н;20.01.2026;ДТ-З;нет;—;—;—;—;—;ГОСТ32511-2013 К5;нечитаем
3;16/Н;29.01.2026;ДТ-З;5,7;53,4;823,7;+44,0;—;-40,0;ГОСТ32511-2013 К5;
4;18/Н;30.01.2026;ДТ-З;5,4;53,1;822,0;+44,5;—;-28,8;ГОСТ32511-2013 К5;
5;19/Н;01.02.2026;ДТ-З;нет;—;817,3;—;—;-42,0;ГОСТ32511-2013 К5;
6;23/Н;11.02.2026;ДТ-З;4,5;53,2;819,7;+49,0;-39,0;-44,2;ГОСТ32511-2013 К5;Трансбункер-Ванино
7;26/Н;14.02.2026;ДТ-З;5,6;53,8;822,6;+41,0;-34,0;-42,7;ГОСТ32511-2013 К5;
8;27/Н;14.02.2026;ДТ-З;нет;53,6;823,6;+43,0;—;—;ГОСТ32511-2013 К5;РВС9
9;36/Н;09.03.2026;ДТ-З;5,8;53,2;815,6;+46,5;—;-41,0;ГОСТ32511-2013 К5;РН-Комсомольск
10;37/Н;10.03.2026;ДТ-З;нет;—;—;+51?;—;—;ГОСТ32511-2013 К5;Трансбункер-Ванино
11;38/Н;09.03.2026;ДТ-З;нет;—;—;+40,0;-20,0;-43,0;ГОСТ32511-2013 К5;РВС10
12;49/Н;24.03.2026;ДТ-З;нет;—;—;—;—;-29?;ГОСТ32511-2013 К5;РИ-Инвест
13;50/Н;24.03.2026;ДТ-З;нет;52,4;815,2;+49,5;-40,0;-42,0;ГОСТ32511-2013 К5;РИ-Инвест
14;73/Н;30.04.2026;ДТ-Л;нет;54,2;—;—;-11,0;—;ГОСТ32511-2013 К5;Газпром-Салават
15;77/Н;30.04.2026;ДТ-Л;нет;—;—;+51,5;—;—;ГОСТР52368-2005 К5;ННК-Хабаровск
16;83/Н;10.05.2026;ДТ-Л;<1,0(?);53,4;829,7;+61,5;-13,0;—;ГОСТР52368-2005 К5;РВС7
17;85/Н;12.05.2026;ДТ-Л;нет;54,3;835,3;—;-5,0;—;ГОСТ32511-2013 К5;Газпром-Салават
18;87/Н;12.05.2026;ДТ-Л;нет;53,4;—;—;—;—;ГОСТР52368-2005 К5;ННК-Хабаровск
19;96/Н;23.05.2026;ДТ-Л;нет;52,9;821,4;+55,0;-13,0;—;ГОСТ32511-2013 К5;Газпром-Салават
20;97/Н;23.05.2026;ДТ-Л;6,2;—;—;—;-13,0;—;ГОСТ32511-2013 К5;
21;101/Н;25.05.2026;ДТ-Л;нет;53,1;827,4;+55,0;-13,0;—;ГОСТР52368-2005 К5;РВС10
22;107/Н;05.06.2026;ДТ-Л;нет;54,0;834,7;+57,0;-17,0;—;ГОСТ32511-2013 К5;Газпром-Салават
23;108/Н;05.06.2026;ДТ-Л;нет;—;—;—;—;—;ГОСТ32511-2013 К5;Газпром-Салават+мн.
24;246/Н;25.12.2025;ДТ-А;нет;—;—;—;-44?;—;ГОСТ32511-2013 К5;"ТАНЕКО; дата 2025"
25;1178;17.01.2026;?;нет;—;—;—;—;—;нечитаем;нечитаем
