Год,Месяц,Скорость груженым,"Тонн ГМ на единицу оборудования в год, т",Средний грузооборот на единицу АС,"Средняя загрузка АС, т",Модель оборудования,Имя оборудования,Id Equip
2024,Январь 2024,16.88,2980436.94,973090.6,187.50592592592594,KOMATSU 730-E,730E_13,501
2024,Январь 2024,16.74,2452529.19,1056792.2,188.33363471971066,KOMATSU 730-E,730E_14,502
2024,Январь 2024,16.13,2659884.52,1052311.19,186.2390766694147,KOMATSU 730-E,730E_15,503
2024,Январь 2024,16.56,2629730.81,1056662.02,186.27773144286905,KOMATSU 730-E,730E_16,504
2024,Январь 2024,16.07,2652290.16,1047229.57,186.9402489626556,KOMATSU 730-E,730E_17,505
2024,Январь 2024,16.54,2442768.39,934541.38,186.23698384201077,KOMATSU 730-E,730E_18,506
2024,Январь 2024,15.81,2537703.71,1047785.24,188.07242582897032,KOMATSU 730-E,730E_19,507
2024,Январь 2024,16.35,2589439.52,1053745.54,186.3771186440678,KOMATSU 730-E,730E_20,508
2024,Январь 2024,16.7,2631803.06,1058210.09,185.959234608985,KOMATSU 730-E,730E_21,509
2024,Январь 2024,16.53,2507891.45,1039781.6,185.8630017452007,KOMATSU 730-E,730E_22,510
2024,Январь 2024,15.95,2584188.23,1022309.25,185.6844331641286,KOMATSU 730-E,730E_23,511
2024,Январь 2024,15.8,2628365,1027546.31,186.8041841004184,KOMATSU 730-E,730E_24,512
2024,Январь 2024,16.27,2596445.16,1062350.79,186.72311600338696,KOMATSU 730-E,730E_25,513
2024,Январь 2024,16.11,2612316.77,1030108.52,186.75757575757575,KOMATSU 730-E,730E_26,514
2024,Январь 2024,15.48,2369627.1,1024816.34,185.14811407543698,KOMATSU 730-E,730E_27,515
2024,Январь 2024,15.95,2541836.45,1032752.37,186.26574633304574,KOMATSU 730-E,730E_28,516
2024,Январь 2024,15.89,2748885.65,1037019.79,188.73645917542441,KOMATSU 730-E,730E_29,517
2024,Январь 2024,16.31,873480.32,931555.93,175.3806146572104,KOMATSU 730-E,730E_37,864
2024,Январь 2024,17.18,2717001.13,1116527.61,193.10376569037658,KOMATSU 730-E,730E_38,865
2024,Январь 2024,16.98,2445676.61,1024961,179.52895419187553,KOMATSU 730-E,730E_39,866
2024,Январь 2024,17.09,2729046.13,1049327.79,188.13474025974025,KOMATSU 730-E,730E_40,867
2024,Январь 2024,17.13,2736157.74,1074441.45,188.3192868719611,KOMATSU 730-E,730E_41,868
